client_id,client_type,gender,country,region,date_of_birth,acquisition_purpose,loan_applied,referral_channel,satisfaction_score,age,segment
C10001,Individual,Male,India,North,1977-11-16,Investment,Yes,Social Media,4,49,3
C10002,Corporate,Female,Canada,Alberta,1972-03-23,Investment,Yes,Referral,3,54,5
C10003,Individual,Female,UAE,Dubai,1991-06-24,Investment,Yes,Social Media,5,35,1
C10004,Individual,Female,India,North,1995-03-05,Personal Use,Yes,Broker,3,31,3
C10005,Individual,Female,India,North,1971-10-04,Investment,No,Property Portal,5,55,3
C10006,Individual,Female,UK,Wales,1992-04-20,Personal Use,Yes,Social Media,3,34,1
C10007,Individual,Male,UAE,Dubai,1963-10-24,Personal Use,No,Referral,3,63,1
C10008,Individual,Female,India,North,1989-06-03,Personal Use,No,Broker,3,37,3
C10009,Individual,Male,Canada,Ontario,1971-10-05,Investment,Yes,Referral,2,55,5
C10010,Individual,Male,UK,Scotland,1995-06-21,Personal Use,Yes,Online Search,2,31,1
C10011,Individual,Female,India,East,1966-06-08,Investment,Yes,Referral,4,60,3
C10012,Corporate,Female,India,South,1982-07-21,Personal Use,Yes,Online Search,5,44,3
C10013,Individual,Male,India,East,1998-10-06,Personal Use,No,Property Portal,5,28,3
C10014,Individual,Female,USA,Midwest,1995-04-28,Personal Use,Yes,Online Search,2,31,0
C10015,Individual,Female,India,North,2001-09-13,Investment,Yes,Referral,4,25,3
C10016,Individual,Male,UAE,Abu Dhabi,1989-04-17,Personal Use,Yes,Referral,2,37,1
C10017,Individual,Male,UK,England,1980-07-07,Investment,No,Property Portal,1,46,4
C10018,Individual,Female,Singapore,Central,1981-04-14,Personal Use,No,Online Search,4,45,2
C10019,Individual,Male,India,North,1980-03-24,Personal Use,No,Online Search,4,46,3
C10020,Individual,Female,Singapore,West,1974-05-16,Investment,Yes,Online Search,2,52,2
C10021,Individual,Female,India,East,1993-10-23,Personal Use,No,Online Search,1,33,3
C10022,Individual,Female,Singapore,Central,1976-04-04,Investment,No,Online Search,5,50,2
C10023,Individual,Male,India,South,1993-08-24,Investment,No,Broker,1,33,3
C10024,Individual,Male,India,East,1987-02-18,Investment,No,Online Search,4,39,3
C10025,Individual,Male,UK,England,1992-03-28,Investment,Yes,Online Search,4,34,4
C10026,Individual,Male,India,North,1978-12-19,Personal Use,No,Property Portal,2,48,3
C10027,Individual,Male,India,North,1994-01-14,Investment,No,Social Media,3,32,3
C10028,Individual,Female,USA,West,1978-03-22,Investment,Yes,Social Media,3,48,0
C10029,Individual,Female,USA,South,1986-08-13,Personal Use,Yes,Social Media,5,40,0
C10030,Individual,Female,UAE,Abu Dhabi,1976-12-26,Personal Use,No,Property Portal,4,50,1
C10031,Individual,Female,USA,Midwest,1975-06-21,Personal Use,Yes,Online Search,4,51,0
C10032,Individual,Male,India,West,1965-04-19,Personal Use,No,Property Portal,5,61,3
C10033,Individual,Female,India,North,1998-04-23,Personal Use,No,Broker,5,28,3
C10034,Corporate,Male,India,East,1978-01-23,Investment,No,Online Search,4,48,3
C10035,Corporate,Female,India,West,1983-01-18,Investment,Yes,Property Portal,4,43,3
C10036,Individual,Male,Canada,Ontario,1966-04-17,Personal Use,No,Social Media,4,60,5
C10037,Individual,Male,UAE,Dubai,1963-11-28,Investment,Yes,Online Search,4,63,1
C10038,Individual,Female,India,South,1992-11-15,Personal Use,No,Property Portal,4,34,3
C10039,Individual,Female,India,East,1977-11-25,Investment,Yes,Broker,4,49,3
